分類,主管課,内容,形式,公開先URL等
統計データ,総務学事課,個人情報保護制度の運用状況（平成15年度～）,HTML PDF,http://www.pref.wakayama.lg.jp/prefg/010100/kojin/kjhome/kunyou.htm
統計データ,人事課,平成 ２５年度県職員（一般、警察、教育）の給与等の現状,PDF,http://www.pref.wakayama.lg.jp/prefg/010200/data/documents/h25kyuuyo.pdf
統計データ,財政課,和歌山県の予算、財政改革、財政状況、財政比較分析表、普通会計決算状況、外部監査報告書,PDF,http://www.pref.wakayama.lg.jp/prefg/010400/
統計データ,市町村課,和歌山県内市町村の給与・定員の公表状況,PDF,http://www.pref.wakayama.lg.jp/prefg/010600/02_gyosei/index.html
統計データ,市町村課,市町村財政状況資料集（各リンク先に市町村別XLSあり）,,
統計データ,市町村課,市町村財政状況資料集（平成２５年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/H25zaiseishiryosyu.html
統計データ,市町村課,市町村財政状況資料集（平成２４年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/H24zaiseishiryosyu.html
統計データ,市町村課,市町村財政状況資料集（平成２３年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/H23zaiseishiryosyu.html
統計データ,市町村課,市町村財政状況資料集（平成２２年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/H22zaiseishiryosyu.html
統計データ,市町村課,市町村財政状況等一覧表（各リンク先に市町村別XLSあり）,,
統計データ,市町村課,市町村財政状況等一覧表（平成２１年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/zaiseijyokyo21/menu.html
統計データ,市町村課,市町村財政状況等一覧表（平成２０年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/zaiseijyokyo20/menu.html
統計データ,市町村課,市町村財政状況等一覧表（平成１９年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/zaiseijyokyo19/menu.html
統計データ,市町村課,市町村歳出比較分析表（各リンク先に市町村別XLSあり）,,
統計データ,市町村課,市町村歳出比較分析表（平成２1年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/H21saisyutsuhikaku.html
統計データ,市町村課,市町村歳出比較分析表（平成２０年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/H20saisyutsuhikaku.html
統計データ,市町村課,市町村歳出比較分析表（平成１９年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/saisyutsuhikaku/menu19.html
統計データ,市町村課,市町村財政比較分析表 （各リンク先に市町村別XLSあり）,,
統計データ,市町村課,市町村財政比較分析表（平成２１年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/H21zaiseihikaku.html
統計データ,市町村課,市町村財政比較分析表（平成２０年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/H20zaiseihikaku.html
統計データ,市町村課,市町村財政比較分析表（平成１９年度）,XLS,http://www.pref.wakayama.lg.jp/prefg/010600/03_zaisei/zaiseihikaku/menu19.html
統計データ,市町村課,市町村税政の概況、市町村普通交付税について,PDF,http://www.pref.wakayama.lg.jp/prefg/010600/04_zeisei/index.html
統計データ,市町村課,住民基本台帳に基づく人口、人口動態及び世帯数,XLS,http://www.e-stat.go.jp/SG1/estat/GL08020103.do?_toGL08020103_&listID=000001112822&disp=Other&requestSender=estat"
統計データ,企画総務課,長期総合計画,PDF,http://www.pref.wakayama.lg.jp/prefg/020100/chokei/honpen/honpen.html
統計データ,地域政策課,地価調査 ,PDF,http://www.pref.wakayama.lg.jp/prefg/020200/tochi/tikatyousa/index.html
統計データ,環境生活総務課,環境保全データ集,PDF,http://www.pref.wakayama.lg.jp/prefg/032100/hozendata/hozendata.html
統計データ,環境生活総務課,電気自動車マップ,GoogleMap,http://www.pref.wakayama.lg.jp/prefg/032000/EV/EVmap.html
統計データ,環境生活総務課,和歌山県認定リサイクル製品リスト,XLS,http://www.pref.wakayama.lg.jp/prefg/032000/nintei/documents/seihinichirann26.xls
統計データ,循環型社会推進課,一般廃棄物処理事業実態調査（平成２０年度実績）,,平成１４～２０年度実績あり
統計データ,循環型社会推進課,ごみ処理の状況,XLS,http://www.pref.wakayama.lg.jp/prefg/031800/index2.files/ippai/ippan.data/H20/gomisyori-H20.xls
統計データ,循環型社会推進課,委託処理状況,XLS,http://www.pref.wakayama.lg.jp/prefg/031800/index2.files/ippai/ippan.data/H20/itakusyori-H20.xls
統計データ,循環型社会推進課,し尿処理の状況,XLS,http://www.pref.wakayama.lg.jp/prefg/031800/index2.files/ippai/ippan.data/H20/shinyousyori-H20.xls
統計データ,循環型社会推進課,処理体制,XLS,http://www.pref.wakayama.lg.jp/prefg/031800/index2.files/ippai/ippan.data/H20/syoritaisei-H20.xls
統計データ,循環型社会推進課,事業経費,XLS,http://www.pref.wakayama.lg.jp/prefg/031800/index2.files/ippai/ippan.data/H20/keihi-H20.xls
統計データ,循環型社会推進課,施設整備状況,XLS,http://www.pref.wakayama.lg.jp/prefg/031800/index2.files/ippai/ippan.data/H20/shisetsu-H20.xls
統計データ,循環型社会推進課,人員・機材等の整備状況,XLS,http://www.pref.wakayama.lg.jp/prefg/031800/index2.files/ippai/ippan.data/H20/jininnkizai-H20.xls
統計データ,環境管理課,化学物質の排出量等の集計結果,HTML,http://www.pref.wakayama.lg.jp/prefg/032100/prtr/seido/syuukei.html"
統計データ,県民生活課,ＮＰＯ法人の認証・申請状況,HTML,http://www.pref.wakayama.lg.jp/prefg/031300/npo/hdaicho/hdaicho.html
統計データ,青少年・男女共同参画課,平成２６年度版年次報告書,PDF,http://www.pref.wakayama.lg.jp/prefg/031400/nenjihoukoku26.html"
統計データ,青少年・男女共同参画課,平成２２年度男女共同参画に関する県民意識調査,PDF,http://www.pref.wakayama.lg.jp/prefg/031400/cyousa22.html
統計データ,長寿社会課,高齢化の状況,PDF,http://www.pref.wakayama.lg.jp/prefg/040300/siryo/index.html
統計データ,医務課,平成２５年人口動態統計（確定数）の概況,XLS統計データ,医務課,諸率の算出に用いた人口,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/dotai/H24/documents/25jinkou.xls
統計データ,医務課,人口動態総覧前年比較,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/dotai/H24/documents/2501.xls
統計データ,医務課,死因順位（和歌山県）、死因順位（全国） ,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/dotai/H24/documents/250203.xls
統計データ,医務課,人口動態総覧の年次推移、高率県と低率県,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/dotai/H24/documents/250405.xls
統計データ,医務課,主な死因による死亡の年次推移、高率県と低率県,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/dotai/H24/documents/250607.xls
統計データ,医務課,悪性新生物の部位別死亡の年次推移、高率県と低率県,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/dotai/H24/documents/250809.xls
統計データ,医務課,人口動態総覧（実数・率）、保健所・市町村別,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/dotai/H25/documents/2510.xls
統計データ,医務課,選択死因別死亡（実数・率）、保健所・市町村別,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/dotai/H24/documents/2511.xls
統計データ,医務課,悪性新生物の部位別死亡（実数・率）、保健所・市町村別,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/dotai/H24/documents/2512.xls
統計データ,医務課,平成24年版和歌山県保健統計年報,,平成１４～２４年度XLSデータ有り
統計データ,医務課,総説,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_1syou.xls
統計データ,医務課,総覧,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_2_1setsu.xls
統計データ,医務課,出生 ,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_2_2setsu.xls
統計データ,医務課,死亡,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_2_3setsu.xls
統計データ,医務課,死因,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_2_4setsu.xls
統計データ,医務課,乳児死亡・新生児死亡,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_2_5setsu.xls
統計データ,医務課,死産・周産期死亡等,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_2_6setsu.xls
統計データ,医務課,婚姻・離婚,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_2_7setsu.xls
統計データ,医務課,平均寿命 ,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_2_8setsu.xls
統計データ,医務課,地域保健・健康増進事業報告,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_4syou.xls
統計データ,医務課,結核,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_5syou.xlsx
統計データ,医務課,環境衛生・食品衛生統計,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_6syou.xls
統計データ,医務課,母子保健・母体保護統計,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_7syou.xls
統計データ,医務課,医療施設,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_8-1setsu.xls
統計データ,医務課,医師、歯科医師、薬剤師,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_8_2setsu.xls
統計データ,医務課,就業あん摩マッサ－ジ指圧、はり、きゅう、柔道整復師、 歯科衛生士、歯科技工士、保健師、助産師、看護師、准看護師,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_8_3setsu.xls
統計データ,医務課,献血,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_8-4setsu.xls
統計データ,医務課,その他,XLS,http://www.pref.wakayama.lg.jp/prefg/050100/nennpou/documents/h24_8_5setsu.xls
統計データ,商工観光労働総務課,平成２３年度版　きのくに産業白書,PDF,http://www.pref.wakayama.lg.jp/prefg/060100/hakusyo/sangyouhakusyo23/23sangyouhakusyo.html
統計データ,商工観光労働総務課,経済動向（月毎）,PDF,http://www.pref.wakayama.lg.jp/prefg/060100/seisaku/kenkeizainodoukou/kenkeizainodoukou.html
統計データ,企業振興課,和歌山の工業,PDF,http://www.pref.wakayama.lg.jp/prefg/061000/pr.html
統計データ,公営企業課,公営企業会計,PDF,http://www.pref.wakayama.lg.jp/prefg/063000/index.html
統計データ,農林水産総務課,和歌山県の農林水産業 平成26年度,PDF,http://www.pref.wakayama.lg.jp/prefg/070100/toukei/mokujiH26.html
統計データ,果樹園芸課,果樹農業のすがた,PDF,http://www.pref.wakayama.lg.jp/prefg/070300/kajupanf/fruit.htm
